fu,compression_type,distortion_level,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,mos
data/CVIQ/023.png,HEVC,1,data/view_ports/023/023_fov1.png,data/view_ports/023/023_fov2.png,data/view_ports/023/023_fov3.png,data/view_ports/023/023_fov4.png,data/view_ports/023/023_fov5.png,data/view_ports/023/023_fov6.png,data/view_ports/023/023_fov7.png,data/view_ports/023/023_fov8.png,data/view_ports/023/023_fov9.png,data/view_ports/023/023_fov10.png,data/view_ports/023/023_fov11.png,data/view_ports/023/023_fov12.png,data/view_ports/023/023_fov13.png,data/view_ports/023/023_fov14.png,data/view_ports/023/023_fov15.png,data/view_ports/023/023_fov16.png,data/view_ports/023/023_fov17.png,data/view_ports/023/023_fov18.png,data/view_ports/023/023_fov19.png,data/view_ports/023/023_fov20.png,71.39896664
data/CVIQ/319.png,AVC,2,data/view_ports/319/319_fov1.png,data/view_ports/319/319_fov2.png,data/view_ports/319/319_fov3.png,data/view_ports/319/319_fov4.png,data/view_ports/319/319_fov5.png,data/view_ports/319/319_fov6.png,data/view_ports/319/319_fov7.png,data/view_ports/319/319_fov8.png,data/view_ports/319/319_fov9.png,data/view_ports/319/319_fov10.png,data/view_ports/319/319_fov11.png,data/view_ports/319/319_fov12.png,data/view_ports/319/319_fov13.png,data/view_ports/319/319_fov14.png,data/view_ports/319/319_fov15.png,data/view_ports/319/319_fov16.png,data/view_ports/319/319_fov17.png,data/view_ports/319/319_fov18.png,data/view_ports/319/319_fov19.png,data/view_ports/319/319_fov20.png,61.99099664
data/CVIQ/320.png,AVC,3,data/view_ports/320/320_fov1.png,data/view_ports/320/320_fov2.png,data/view_ports/320/320_fov3.png,data/view_ports/320/320_fov4.png,data/view_ports/320/320_fov5.png,data/view_ports/320/320_fov6.png,data/view_ports/320/320_fov7.png,data/view_ports/320/320_fov8.png,data/view_ports/320/320_fov9.png,data/view_ports/320/320_fov10.png,data/view_ports/320/320_fov11.png,data/view_ports/320/320_fov12.png,data/view_ports/320/320_fov13.png,data/view_ports/320/320_fov14.png,data/view_ports/320/320_fov15.png,data/view_ports/320/320_fov16.png,data/view_ports/320/320_fov17.png,data/view_ports/320/320_fov18.png,data/view_ports/320/320_fov19.png,data/view_ports/320/320_fov20.png,59.22987052
data/CVIQ/321.png,AVC,4,data/view_ports/321/321_fov1.png,data/view_ports/321/321_fov2.png,data/view_ports/321/321_fov3.png,data/view_ports/321/321_fov4.png,data/view_ports/321/321_fov5.png,data/view_ports/321/321_fov6.png,data/view_ports/321/321_fov7.png,data/view_ports/321/321_fov8.png,data/view_ports/321/321_fov9.png,data/view_ports/321/321_fov10.png,data/view_ports/321/321_fov11.png,data/view_ports/321/321_fov12.png,data/view_ports/321/321_fov13.png,data/view_ports/321/321_fov14.png,data/view_ports/321/321_fov15.png,data/view_ports/321/321_fov16.png,data/view_ports/321/321_fov17.png,data/view_ports/321/321_fov18.png,data/view_ports/321/321_fov19.png,data/view_ports/321/321_fov20.png,60.13064009
data/CVIQ/322.png,AVC,5,data/view_ports/322/322_fov1.png,data/view_ports/322/322_fov2.png,data/view_ports/322/322_fov3.png,data/view_ports/322/322_fov4.png,data/view_ports/322/322_fov5.png,data/view_ports/322/322_fov6.png,data/view_ports/322/322_fov7.png,data/view_ports/322/322_fov8.png,data/view_ports/322/322_fov9.png,data/view_ports/322/322_fov10.png,data/view_ports/322/322_fov11.png,data/view_ports/322/322_fov12.png,data/view_ports/322/322_fov13.png,data/view_ports/322/322_fov14.png,data/view_ports/322/322_fov15.png,data/view_ports/322/322_fov16.png,data/view_ports/322/322_fov17.png,data/view_ports/322/322_fov18.png,data/view_ports/322/322_fov19.png,data/view_ports/322/322_fov20.png,51.91991891
data/CVIQ/323.png,AVC,6,data/view_ports/323/323_fov1.png,data/view_ports/323/323_fov2.png,data/view_ports/323/323_fov3.png,data/view_ports/323/323_fov4.png,data/view_ports/323/323_fov5.png,data/view_ports/323/323_fov6.png,data/view_ports/323/323_fov7.png,data/view_ports/323/323_fov8.png,data/view_ports/323/323_fov9.png,data/view_ports/323/323_fov10.png,data/view_ports/323/323_fov11.png,data/view_ports/323/323_fov12.png,data/view_ports/323/323_fov13.png,data/view_ports/323/323_fov14.png,data/view_ports/323/323_fov15.png,data/view_ports/323/323_fov16.png,data/view_ports/323/323_fov17.png,data/view_ports/323/323_fov18.png,data/view_ports/323/323_fov19.png,data/view_ports/323/323_fov20.png,50.7319073
data/CVIQ/324.png,AVC,7,data/view_ports/324/324_fov1.png,data/view_ports/324/324_fov2.png,data/view_ports/324/324_fov3.png,data/view_ports/324/324_fov4.png,data/view_ports/324/324_fov5.png,data/view_ports/324/324_fov6.png,data/view_ports/324/324_fov7.png,data/view_ports/324/324_fov8.png,data/view_ports/324/324_fov9.png,data/view_ports/324/324_fov10.png,data/view_ports/324/324_fov11.png,data/view_ports/324/324_fov12.png,data/view_ports/324/324_fov13.png,data/view_ports/324/324_fov14.png,data/view_ports/324/324_fov15.png,data/view_ports/324/324_fov16.png,data/view_ports/324/324_fov17.png,data/view_ports/324/324_fov18.png,data/view_ports/324/324_fov19.png,data/view_ports/324/324_fov20.png,43.18909584
data/CVIQ/325.png,AVC,8,data/view_ports/325/325_fov1.png,data/view_ports/325/325_fov2.png,data/view_ports/325/325_fov3.png,data/view_ports/325/325_fov4.png,data/view_ports/325/325_fov5.png,data/view_ports/325/325_fov6.png,data/view_ports/325/325_fov7.png,data/view_ports/325/325_fov8.png,data/view_ports/325/325_fov9.png,data/view_ports/325/325_fov10.png,data/view_ports/325/325_fov11.png,data/view_ports/325/325_fov12.png,data/view_ports/325/325_fov13.png,data/view_ports/325/325_fov14.png,data/view_ports/325/325_fov15.png,data/view_ports/325/325_fov16.png,data/view_ports/325/325_fov17.png,data/view_ports/325/325_fov18.png,data/view_ports/325/325_fov19.png,data/view_ports/325/325_fov20.png,37.83870095
data/CVIQ/326.png,AVC,9,data/view_ports/326/326_fov1.png,data/view_ports/326/326_fov2.png,data/view_ports/326/326_fov3.png,data/view_ports/326/326_fov4.png,data/view_ports/326/326_fov5.png,data/view_ports/326/326_fov6.png,data/view_ports/326/326_fov7.png,data/view_ports/326/326_fov8.png,data/view_ports/326/326_fov9.png,data/view_ports/326/326_fov10.png,data/view_ports/326/326_fov11.png,data/view_ports/326/326_fov12.png,data/view_ports/326/326_fov13.png,data/view_ports/326/326_fov14.png,data/view_ports/326/326_fov15.png,data/view_ports/326/326_fov16.png,data/view_ports/326/326_fov17.png,data/view_ports/326/326_fov18.png,data/view_ports/326/326_fov19.png,data/view_ports/326/326_fov20.png,37.76619526
data/CVIQ/327.png,AVC,10,data/view_ports/327/327_fov1.png,data/view_ports/327/327_fov2.png,data/view_ports/327/327_fov3.png,data/view_ports/327/327_fov4.png,data/view_ports/327/327_fov5.png,data/view_ports/327/327_fov6.png,data/view_ports/327/327_fov7.png,data/view_ports/327/327_fov8.png,data/view_ports/327/327_fov9.png,data/view_ports/327/327_fov10.png,data/view_ports/327/327_fov11.png,data/view_ports/327/327_fov12.png,data/view_ports/327/327_fov13.png,data/view_ports/327/327_fov14.png,data/view_ports/327/327_fov15.png,data/view_ports/327/327_fov16.png,data/view_ports/327/327_fov17.png,data/view_ports/327/327_fov18.png,data/view_ports/327/327_fov19.png,data/view_ports/327/327_fov20.png,31.93204972
data/CVIQ/328.png,AVC,11,data/view_ports/328/328_fov1.png,data/view_ports/328/328_fov2.png,data/view_ports/328/328_fov3.png,data/view_ports/328/328_fov4.png,data/view_ports/328/328_fov5.png,data/view_ports/328/328_fov6.png,data/view_ports/328/328_fov7.png,data/view_ports/328/328_fov8.png,data/view_ports/328/328_fov9.png,data/view_ports/328/328_fov10.png,data/view_ports/328/328_fov11.png,data/view_ports/328/328_fov12.png,data/view_ports/328/328_fov13.png,data/view_ports/328/328_fov14.png,data/view_ports/328/328_fov15.png,data/view_ports/328/328_fov16.png,data/view_ports/328/328_fov17.png,data/view_ports/328/328_fov18.png,data/view_ports/328/328_fov19.png,data/view_ports/328/328_fov20.png,28.15352671
data/CVIQ/329.png,HEVC,1,data/view_ports/329/329_fov1.png,data/view_ports/329/329_fov2.png,data/view_ports/329/329_fov3.png,data/view_ports/329/329_fov4.png,data/view_ports/329/329_fov5.png,data/view_ports/329/329_fov6.png,data/view_ports/329/329_fov7.png,data/view_ports/329/329_fov8.png,data/view_ports/329/329_fov9.png,data/view_ports/329/329_fov10.png,data/view_ports/329/329_fov11.png,data/view_ports/329/329_fov12.png,data/view_ports/329/329_fov13.png,data/view_ports/329/329_fov14.png,data/view_ports/329/329_fov15.png,data/view_ports/329/329_fov16.png,data/view_ports/329/329_fov17.png,data/view_ports/329/329_fov18.png,data/view_ports/329/329_fov19.png,data/view_ports/329/329_fov20.png,64.80476545
data/CVIQ/353.png,AVC,2,data/view_ports/353/353_fov1.png,data/view_ports/353/353_fov2.png,data/view_ports/353/353_fov3.png,data/view_ports/353/353_fov4.png,data/view_ports/353/353_fov5.png,data/view_ports/353/353_fov6.png,data/view_ports/353/353_fov7.png,data/view_ports/353/353_fov8.png,data/view_ports/353/353_fov9.png,data/view_ports/353/353_fov10.png,data/view_ports/353/353_fov11.png,data/view_ports/353/353_fov12.png,data/view_ports/353/353_fov13.png,data/view_ports/353/353_fov14.png,data/view_ports/353/353_fov15.png,data/view_ports/353/353_fov16.png,data/view_ports/353/353_fov17.png,data/view_ports/353/353_fov18.png,data/view_ports/353/353_fov19.png,data/view_ports/353/353_fov20.png,59.59253702
data/CVIQ/354.png,AVC,3,data/view_ports/354/354_fov1.png,data/view_ports/354/354_fov2.png,data/view_ports/354/354_fov3.png,data/view_ports/354/354_fov4.png,data/view_ports/354/354_fov5.png,data/view_ports/354/354_fov6.png,data/view_ports/354/354_fov7.png,data/view_ports/354/354_fov8.png,data/view_ports/354/354_fov9.png,data/view_ports/354/354_fov10.png,data/view_ports/354/354_fov11.png,data/view_ports/354/354_fov12.png,data/view_ports/354/354_fov13.png,data/view_ports/354/354_fov14.png,data/view_ports/354/354_fov15.png,data/view_ports/354/354_fov16.png,data/view_ports/354/354_fov17.png,data/view_ports/354/354_fov18.png,data/view_ports/354/354_fov19.png,data/view_ports/354/354_fov20.png,60.50072954
data/CVIQ/355.png,AVC,4,data/view_ports/355/355_fov1.png,data/view_ports/355/355_fov2.png,data/view_ports/355/355_fov3.png,data/view_ports/355/355_fov4.png,data/view_ports/355/355_fov5.png,data/view_ports/355/355_fov6.png,data/view_ports/355/355_fov7.png,data/view_ports/355/355_fov8.png,data/view_ports/355/355_fov9.png,data/view_ports/355/355_fov10.png,data/view_ports/355/355_fov11.png,data/view_ports/355/355_fov12.png,data/view_ports/355/355_fov13.png,data/view_ports/355/355_fov14.png,data/view_ports/355/355_fov15.png,data/view_ports/355/355_fov16.png,data/view_ports/355/355_fov17.png,data/view_ports/355/355_fov18.png,data/view_ports/355/355_fov19.png,data/view_ports/355/355_fov20.png,59.01805556
data/CVIQ/356.png,AVC,5,data/view_ports/356/356_fov1.png,data/view_ports/356/356_fov2.png,data/view_ports/356/356_fov3.png,data/view_ports/356/356_fov4.png,data/view_ports/356/356_fov5.png,data/view_ports/356/356_fov6.png,data/view_ports/356/356_fov7.png,data/view_ports/356/356_fov8.png,data/view_ports/356/356_fov9.png,data/view_ports/356/356_fov10.png,data/view_ports/356/356_fov11.png,data/view_ports/356/356_fov12.png,data/view_ports/356/356_fov13.png,data/view_ports/356/356_fov14.png,data/view_ports/356/356_fov15.png,data/view_ports/356/356_fov16.png,data/view_ports/356/356_fov17.png,data/view_ports/356/356_fov18.png,data/view_ports/356/356_fov19.png,data/view_ports/356/356_fov20.png,52.85113151
data/CVIQ/357.png,AVC,6,data/view_ports/357/357_fov1.png,data/view_ports/357/357_fov2.png,data/view_ports/357/357_fov3.png,data/view_ports/357/357_fov4.png,data/view_ports/357/357_fov5.png,data/view_ports/357/357_fov6.png,data/view_ports/357/357_fov7.png,data/view_ports/357/357_fov8.png,data/view_ports/357/357_fov9.png,data/view_ports/357/357_fov10.png,data/view_ports/357/357_fov11.png,data/view_ports/357/357_fov12.png,data/view_ports/357/357_fov13.png,data/view_ports/357/357_fov14.png,data/view_ports/357/357_fov15.png,data/view_ports/357/357_fov16.png,data/view_ports/357/357_fov17.png,data/view_ports/357/357_fov18.png,data/view_ports/357/357_fov19.png,data/view_ports/357/357_fov20.png,50.08476406
data/CVIQ/358.png,AVC,7,data/view_ports/358/358_fov1.png,data/view_ports/358/358_fov2.png,data/view_ports/358/358_fov3.png,data/view_ports/358/358_fov4.png,data/view_ports/358/358_fov5.png,data/view_ports/358/358_fov6.png,data/view_ports/358/358_fov7.png,data/view_ports/358/358_fov8.png,data/view_ports/358/358_fov9.png,data/view_ports/358/358_fov10.png,data/view_ports/358/358_fov11.png,data/view_ports/358/358_fov12.png,data/view_ports/358/358_fov13.png,data/view_ports/358/358_fov14.png,data/view_ports/358/358_fov15.png,data/view_ports/358/358_fov16.png,data/view_ports/358/358_fov17.png,data/view_ports/358/358_fov18.png,data/view_ports/358/358_fov19.png,data/view_ports/358/358_fov20.png,43.08881183
data/CVIQ/359.png,AVC,8,data/view_ports/359/359_fov1.png,data/view_ports/359/359_fov2.png,data/view_ports/359/359_fov3.png,data/view_ports/359/359_fov4.png,data/view_ports/359/359_fov5.png,data/view_ports/359/359_fov6.png,data/view_ports/359/359_fov7.png,data/view_ports/359/359_fov8.png,data/view_ports/359/359_fov9.png,data/view_ports/359/359_fov10.png,data/view_ports/359/359_fov11.png,data/view_ports/359/359_fov12.png,data/view_ports/359/359_fov13.png,data/view_ports/359/359_fov14.png,data/view_ports/359/359_fov15.png,data/view_ports/359/359_fov16.png,data/view_ports/359/359_fov17.png,data/view_ports/359/359_fov18.png,data/view_ports/359/359_fov19.png,data/view_ports/359/359_fov20.png,39.72041672
data/CVIQ/360.png,AVC,9,data/view_ports/360/360_fov1.png,data/view_ports/360/360_fov2.png,data/view_ports/360/360_fov3.png,data/view_ports/360/360_fov4.png,data/view_ports/360/360_fov5.png,data/view_ports/360/360_fov6.png,data/view_ports/360/360_fov7.png,data/view_ports/360/360_fov8.png,data/view_ports/360/360_fov9.png,data/view_ports/360/360_fov10.png,data/view_ports/360/360_fov11.png,data/view_ports/360/360_fov12.png,data/view_ports/360/360_fov13.png,data/view_ports/360/360_fov14.png,data/view_ports/360/360_fov15.png,data/view_ports/360/360_fov16.png,data/view_ports/360/360_fov17.png,data/view_ports/360/360_fov18.png,data/view_ports/360/360_fov19.png,data/view_ports/360/360_fov20.png,39.92672231
data/CVIQ/361.png,AVC,10,data/view_ports/361/361_fov1.png,data/view_ports/361/361_fov2.png,data/view_ports/361/361_fov3.png,data/view_ports/361/361_fov4.png,data/view_ports/361/361_fov5.png,data/view_ports/361/361_fov6.png,data/view_ports/361/361_fov7.png,data/view_ports/361/361_fov8.png,data/view_ports/361/361_fov9.png,data/view_ports/361/361_fov10.png,data/view_ports/361/361_fov11.png,data/view_ports/361/361_fov12.png,data/view_ports/361/361_fov13.png,data/view_ports/361/361_fov14.png,data/view_ports/361/361_fov15.png,data/view_ports/361/361_fov16.png,data/view_ports/361/361_fov17.png,data/view_ports/361/361_fov18.png,data/view_ports/361/361_fov19.png,data/view_ports/361/361_fov20.png,33.48268717
data/CVIQ/362.png,AVC,11,data/view_ports/362/362_fov1.png,data/view_ports/362/362_fov2.png,data/view_ports/362/362_fov3.png,data/view_ports/362/362_fov4.png,data/view_ports/362/362_fov5.png,data/view_ports/362/362_fov6.png,data/view_ports/362/362_fov7.png,data/view_ports/362/362_fov8.png,data/view_ports/362/362_fov9.png,data/view_ports/362/362_fov10.png,data/view_ports/362/362_fov11.png,data/view_ports/362/362_fov12.png,data/view_ports/362/362_fov13.png,data/view_ports/362/362_fov14.png,data/view_ports/362/362_fov15.png,data/view_ports/362/362_fov16.png,data/view_ports/362/362_fov17.png,data/view_ports/362/362_fov18.png,data/view_ports/362/362_fov19.png,data/view_ports/362/362_fov20.png,34.94071488
data/CVIQ/363.png,HEVC,1,data/view_ports/363/363_fov1.png,data/view_ports/363/363_fov2.png,data/view_ports/363/363_fov3.png,data/view_ports/363/363_fov4.png,data/view_ports/363/363_fov5.png,data/view_ports/363/363_fov6.png,data/view_ports/363/363_fov7.png,data/view_ports/363/363_fov8.png,data/view_ports/363/363_fov9.png,data/view_ports/363/363_fov10.png,data/view_ports/363/363_fov11.png,data/view_ports/363/363_fov12.png,data/view_ports/363/363_fov13.png,data/view_ports/363/363_fov14.png,data/view_ports/363/363_fov15.png,data/view_ports/363/363_fov16.png,data/view_ports/363/363_fov17.png,data/view_ports/363/363_fov18.png,data/view_ports/363/363_fov19.png,data/view_ports/363/363_fov20.png,67.94405465
data/CVIQ/387.png,AVC,2,data/view_ports/387/387_fov1.png,data/view_ports/387/387_fov2.png,data/view_ports/387/387_fov3.png,data/view_ports/387/387_fov4.png,data/view_ports/387/387_fov5.png,data/view_ports/387/387_fov6.png,data/view_ports/387/387_fov7.png,data/view_ports/387/387_fov8.png,data/view_ports/387/387_fov9.png,data/view_ports/387/387_fov10.png,data/view_ports/387/387_fov11.png,data/view_ports/387/387_fov12.png,data/view_ports/387/387_fov13.png,data/view_ports/387/387_fov14.png,data/view_ports/387/387_fov15.png,data/view_ports/387/387_fov16.png,data/view_ports/387/387_fov17.png,data/view_ports/387/387_fov18.png,data/view_ports/387/387_fov19.png,data/view_ports/387/387_fov20.png,64.48883437
data/CVIQ/388.png,AVC,3,data/view_ports/388/388_fov1.png,data/view_ports/388/388_fov2.png,data/view_ports/388/388_fov3.png,data/view_ports/388/388_fov4.png,data/view_ports/388/388_fov5.png,data/view_ports/388/388_fov6.png,data/view_ports/388/388_fov7.png,data/view_ports/388/388_fov8.png,data/view_ports/388/388_fov9.png,data/view_ports/388/388_fov10.png,data/view_ports/388/388_fov11.png,data/view_ports/388/388_fov12.png,data/view_ports/388/388_fov13.png,data/view_ports/388/388_fov14.png,data/view_ports/388/388_fov15.png,data/view_ports/388/388_fov16.png,data/view_ports/388/388_fov17.png,data/view_ports/388/388_fov18.png,data/view_ports/388/388_fov19.png,data/view_ports/388/388_fov20.png,64.35298226
data/CVIQ/389.png,AVC,4,data/view_ports/389/389_fov1.png,data/view_ports/389/389_fov2.png,data/view_ports/389/389_fov3.png,data/view_ports/389/389_fov4.png,data/view_ports/389/389_fov5.png,data/view_ports/389/389_fov6.png,data/view_ports/389/389_fov7.png,data/view_ports/389/389_fov8.png,data/view_ports/389/389_fov9.png,data/view_ports/389/389_fov10.png,data/view_ports/389/389_fov11.png,data/view_ports/389/389_fov12.png,data/view_ports/389/389_fov13.png,data/view_ports/389/389_fov14.png,data/view_ports/389/389_fov15.png,data/view_ports/389/389_fov16.png,data/view_ports/389/389_fov17.png,data/view_ports/389/389_fov18.png,data/view_ports/389/389_fov19.png,data/view_ports/389/389_fov20.png,57.38453363
data/CVIQ/390.png,AVC,5,data/view_ports/390/390_fov1.png,data/view_ports/390/390_fov2.png,data/view_ports/390/390_fov3.png,data/view_ports/390/390_fov4.png,data/view_ports/390/390_fov5.png,data/view_ports/390/390_fov6.png,data/view_ports/390/390_fov7.png,data/view_ports/390/390_fov8.png,data/view_ports/390/390_fov9.png,data/view_ports/390/390_fov10.png,data/view_ports/390/390_fov11.png,data/view_ports/390/390_fov12.png,data/view_ports/390/390_fov13.png,data/view_ports/390/390_fov14.png,data/view_ports/390/390_fov15.png,data/view_ports/390/390_fov16.png,data/view_ports/390/390_fov17.png,data/view_ports/390/390_fov18.png,data/view_ports/390/390_fov19.png,data/view_ports/390/390_fov20.png,63.09523054
data/CVIQ/391.png,AVC,6,data/view_ports/391/391_fov1.png,data/view_ports/391/391_fov2.png,data/view_ports/391/391_fov3.png,data/view_ports/391/391_fov4.png,data/view_ports/391/391_fov5.png,data/view_ports/391/391_fov6.png,data/view_ports/391/391_fov7.png,data/view_ports/391/391_fov8.png,data/view_ports/391/391_fov9.png,data/view_ports/391/391_fov10.png,data/view_ports/391/391_fov11.png,data/view_ports/391/391_fov12.png,data/view_ports/391/391_fov13.png,data/view_ports/391/391_fov14.png,data/view_ports/391/391_fov15.png,data/view_ports/391/391_fov16.png,data/view_ports/391/391_fov17.png,data/view_ports/391/391_fov18.png,data/view_ports/391/391_fov19.png,data/view_ports/391/391_fov20.png,57.67817696
